**flightid,entryTime(milliseconds),exitTime(milliseconds),transitTime(milliseconds),upperStreamSector,currentSector,downStreamSector
14,2314000,2798000,484000,ZLCSL,ZLC32,ZLC46
14,2798000,3028000,230000,ZLC32,ZLC46,ZLC34
14,3028000,3632000,604000,ZLC46,ZLC34,ZDV24
14,3632000,4038000,406000,ZLC34,ZDV24,ZDV38
14,4038000,5221000,1183000,ZDV24,ZDV38,ZDV30
14,5221000,5433000,212000,ZDV38,ZDV30,ZAB79
14,5433000,5635000,202000,ZDV30,ZAB79,ZAB72
14,5635000,6001000,366000,ZAB79,ZAB72,ZAB96
14,6001000,6189000,188000,ZAB72,ZAB96,ZAB72
14,6189000,6349000,160000,ZAB96,ZAB72,ZAB96
14,6349000,6668000,319000,ZAB72,ZAB96,ZAB98
14,6668000,7826000,1158000,ZAB96,ZAB98,ZFW47
14,7826000,8885000,1059000,ZAB98,ZFW47,ZFW75
14,8885000,9204782,319782,ZFW47,ZFW75,TRACOND10
14,9204782,9883000,678218,TRACOND10,KDFW,XXXX
15,3564000,4294434,730434,XXXX,KORD,TRACONC90
15,4294434,4662000,367566,TRACONC90,ZAU44,ZAU45
15,4662000,5248000,586000,ZAU44,ZAU45,ZKC94
15,5248000,6145000,897000,ZAU45,ZKC94,ZKC29
15,6145000,7312000,1167000,ZKC94,ZKC29,ZME19
15,7312000,8522000,1210000,ZKC29,ZME19,ZFW42
15,8522000,9153000,631000,ZME19,ZFW42,ZFW37
15,9153000,9495434,342434,ZFW42,ZFW37,TRACOND10
15,9495434,10244000,748566,TRACOND10,KDFW,XXXX
16,2910000,3744782,834782,XXXX,KATL,TRACONTKATL
16,3744782,3748000,3218,TRACONTKATL,ZTL01,ZTL04
16,3748000,4082000,334000,ZTL01,ZTL04,ZTL03
16,4082000,4947000,865000,ZTL04,ZTL03,ZME46
16,4947000,5865000,918000,ZTL03,ZME46,ZME45
16,5865000,6483000,618000,ZME46,ZME45,ZFW92
16,6483000,7024000,541000,ZME45,ZFW92,ZFW86
16,7024000,7780000,756000,ZFW92,ZFW86,ZFW71
16,7780000,8191000,411000,ZFW86,ZFW71,ZFW89
16,8191000,8277000,86000,ZFW71,ZFW89,ZFW29
16,8277000,8525782,248782,ZFW89,ZFW29,TRACOND10
16,8525782,9352000,826218,TRACOND10,KDFW,XXXX
17,3078000,3912782,834782,XXXX,KDEN,TRACONTKDEN
17,3912782,4095000,182218,TRACONTKDEN,ZDVCO,ZDV42
17,4095000,4397000,302000,ZDVCO,ZDV42,ZDV29
17,4397000,4700000,303000,ZDV42,ZDV29,ZDV30
17,4700000,5147000,447000,ZDV29,ZDV30,ZAB72
17,5147000,5848000,701000,ZDV30,ZAB72,ZAB98
17,5848000,6717000,869000,ZAB72,ZAB98,ZFW47
17,6717000,7749000,1032000,ZAB98,ZFW47,ZFW75
17,7749000,8029782,280782,ZFW47,ZFW75,TRACOND10
17,8029782,8681000,651218,TRACOND10,KDFW,XXXX
18,1884000,2718782,834782,XXXX,KSFO,TRACONTKSFO
18,2718782,2722000,3218,TRACONTKSFO,ZOANC,ZOA17
18,2722000,2962000,240000,ZOANC,ZOA17,ZOA23
18,2962000,3264000,302000,ZOA17,ZOA23,ZOA32
18,3264000,3799000,535000,ZOA23,ZOA32,ZOA33
18,3799000,4551000,752000,ZOA32,ZOA33,ZLC47
18,4551000,5829000,1278000,ZOA33,ZLC47,ZLC44
18,5829000,6409000,580000,ZLC47,ZLC44,ZLC46
18,6409000,6983000,574000,ZLC44,ZLC46,ZDV23
18,6983000,7818000,835000,ZLC46,ZDV23,ZDV37
18,7818000,8961000,1143000,ZDV23,ZDV37,ZAB70
18,8961000,9398000,437000,ZDV37,ZAB70,ZAB71
18,9398000,9557000,159000,ZAB70,ZAB71,ZAB95
18,9557000,10423000,866000,ZAB71,ZAB95,ZAB97
18,10423000,11589000,1166000,ZAB95,ZAB97,ZFW47
18,11589000,12629000,1040000,ZAB97,ZFW47,ZFW75
18,12629000,12983782,354782,ZFW47,ZFW75,TRACOND10
18,12983782,13621000,637218,TRACOND10,KDFW,XXXX
19,3366000,4200782,834782,XXXX,KLAX,TRACONTKLAX
19,4200782,4384000,183218,TRACONTKLAX,ZLALA,ZLA12
19,4384000,4746000,362000,ZLALA,ZLA12,ZLA40
19,4746000,5258000,512000,ZLA12,ZLA40,ZLA39
19,5258000,5851000,593000,ZLA40,ZLA39,ZAB92
19,5851000,6844000,993000,ZLA39,ZAB92,ZAB67
19,6844000,7428000,584000,ZAB92,ZAB67,ZAB93
19,7428000,8329000,901000,ZAB67,ZAB93,ZAB68
19,8329000,8979000,650000,ZAB93,ZAB68,ZAB94
19,8979000,9769000,790000,ZAB68,ZAB94,ZAB87
19,9769000,10616000,847000,ZAB94,ZAB87,ZFW93
19,10616000,11416000,800000,ZAB87,ZFW93,ZFW47
19,11416000,12409000,993000,ZFW93,ZFW47,ZFW75
19,12409000,12772282,363282,ZFW47,ZFW75,TRACOND10
19,12772282,13407000,634718,TRACOND10,KDFW,XXXX
20,3246000,4080782,834782,XXXX,KLAX,TRACONTKLAX
20,4080782,4218000,137218,TRACONTKLAX,ZLALA,ZLA12
20,4218000,4468000,250000,ZLALA,ZLA12,ZLA40
20,4468000,5128000,660000,ZLA12,ZLA40,ZLA39
20,5128000,5714000,586000,ZLA40,ZLA39,ZAB92
20,5714000,6696000,982000,ZLA39,ZAB92,ZAB67
20,6696000,7273000,577000,ZAB92,ZAB67,ZAB93
20,7273000,8164000,891000,ZAB67,ZAB93,ZAB68
20,8164000,8807000,643000,ZAB93,ZAB68,ZAB94
20,8807000,9587000,780000,ZAB68,ZAB94,ZAB87
20,9587000,10424000,837000,ZAB94,ZAB87,ZFW93
20,10424000,11216000,792000,ZAB87,ZFW93,ZFW47
20,11216000,12094000,878000,ZFW93,ZFW47,ZFW75
20,12094000,12544782,450782,ZFW47,ZFW75,TRACOND10
20,12544782,13179000,634218,TRACOND10,KDFW,XXXX
21,2262000,3096782,834782,XXXX,KCLT,TRACONTKCLT
21,3096782,3100000,3218,TRACONTKCLT,ZTLGP,ZTL31
21,3100000,3475000,375000,ZTLGP,ZTL31,ZTL32
21,3475000,3747000,272000,ZTL31,ZTL32,ZTL34
21,3747000,4198000,451000,ZTL32,ZTL34,ZTL22
21,4198000,4687000,489000,ZTL34,ZTL22,ZTL03
21,4687000,5710000,1023000,ZTL22,ZTL03,ZME30
21,5710000,6860000,1150000,ZTL03,ZME30,ZME44
21,6860000,7383000,523000,ZME30,ZME44,ZME21
21,7383000,8264000,881000,ZME44,ZME21,ZFW42
21,8264000,9025000,761000,ZME21,ZFW42,ZFW37
21,9025000,9393282,368282,ZFW42,ZFW37,TRACOND10
21,9393282,10183000,789718,TRACOND10,KDFW,XXXX
22,6564000,7398782,834782,XXXX,KLAS,TRACONTKLAS
22,7398782,7460000,61218,TRACONTKLAS,ZLA07,ZLA08
22,7460000,7714000,254000,ZLA07,ZLA08,ZLA35
22,7714000,8145000,431000,ZLA08,ZLA35,ZLA36
22,8145000,8444000,299000,ZLA35,ZLA36,ZAB67
22,8444000,9305000,861000,ZLA36,ZAB67,ZAB93
22,9305000,10263000,958000,ZAB67,ZAB93,ZAB68
22,10263000,10674000,411000,ZAB93,ZAB68,ZAB94
22,10674000,11459000,785000,ZAB68,ZAB94,ZAB87
22,11459000,12300000,841000,ZAB94,ZAB87,ZFW93
22,12300000,13095000,795000,ZAB87,ZFW93,ZFW47
22,13095000,14077000,982000,ZFW93,ZFW47,ZFW75
22,14077000,14440782,363782,ZFW47,ZFW75,TRACOND10
22,14440782,15071000,630218,TRACOND10,KDFW,XXXX
23,5244000,6078782,834782,XXXX,KSFO,TRACONTKSFO
23,6078782,6082000,3218,TRACONTKSFO,ZOANC,ZOA17
23,6082000,6316000,234000,ZOANC,ZOA17,ZOA23
23,6316000,6459000,143000,ZOA17,ZOA23,ZOA32
23,6459000,7123000,664000,ZOA23,ZOA32,ZOA33
23,7123000,7834000,711000,ZOA32,ZOA33,ZLC45
23,7834000,9097000,1263000,ZOA33,ZLC45,ZLC33
23,9097000,9698000,601000,ZLC45,ZLC33,ZLC34
23,9698000,10194000,496000,ZLC33,ZLC34,ZDV24
23,10194000,10967000,773000,ZLC34,ZDV24,ZDV38
23,10967000,11850000,883000,ZDV24,ZDV38,ZAB70
23,11850000,12525000,675000,ZDV38,ZAB70,ZAB95
23,12525000,13484000,959000,ZAB70,ZAB95,ZAB97
23,13484000,14553000,1069000,ZAB95,ZAB97,ZFW47
23,14553000,15547000,994000,ZAB97,ZFW47,ZFW75
23,15547000,15888782,341782,ZFW47,ZFW75,TRACOND10
23,15888782,16563000,674218,TRACOND10,KDFW,XXXX
24,16356000,17190782,834782,XXXX,KPHX,TRACONTKPHX
